Name,Statement
Jennifer Mccoy,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Karina Gray,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Craig Espinoza,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Michael Mendez,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Tara Thompson,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
William Montgomery,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Scott Harris,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Cheryl Thomas,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Trevor Brown MD,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Alison Lowery,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Robin Moore,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Robert Lee,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Chris Gonzalez,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Darren Hall,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Kimberly Curry,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Marie Flynn,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Mark Parker,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Willie Craig,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Bradley Jimenez,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Taylor Watson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Danny Pearson,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jordan Ramos,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Ashley Chang,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Shane Hernandez,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Rebecca Davis,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Latasha Newton,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jose Perry,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Joseph Mendoza,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jay Ellis,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Brenda Rivera,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Joshua Diaz,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Allison Weaver,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Nicholas Cooper,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Kyle Harper,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Patrick Jimenez,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Christopher Johnson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jeffrey Walsh,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Pamela Curtis,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Beverly Welch,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Brian Orozco,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Paul Buchanan,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Suzanne Miller,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jason Terrell,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Rhonda Baxter,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Diane Nunez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Ronald Boyer,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Gregory Charles,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Michelle Martin,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Brad Robinson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Joshua Morris,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Haley Jones,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Jennifer Keith MD,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Daniel Avila,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Emily Quinn,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Gabrielle Bean,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Michael Evans,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brian Scott,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jennifer Long,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Dennis Owens,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Sherry Nelson,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Todd Morgan,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Eric Reyes,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Heather Ho,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Andrew Walker,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Michael Rodriguez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Sean Bates PhD,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Amy White,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Cassandra Dunn,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
James Mason,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brianna Smith,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Traci Martinez,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Alisha Nguyen,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Patrick Watson,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Dakota Arellano,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Mark Shepherd,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Mrs. Jennifer Weber,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Ricardo Jones,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Ryan Young,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Thomas Jones,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jorge Adams,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Tyler Lopez,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brian Chandler,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Albert Duncan,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Ashley Hayes,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jason Coleman,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Steven Wu,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Theresa Andrade,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jeffrey Adams,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Benjamin Greene,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Robert Thomas,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Karen Lambert,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Mrs. Lori Duarte,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Lisa Rodriguez,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Alan Thomas,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Jacob Chaney,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Julie Zamora,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Robert Klein,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
David Johnson,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Donald Anderson,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Nicholas Brown,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Douglas Olsen,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Bonnie Barnes,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Larry Roberts,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
